SMILES,MW,MW_MCS,NR,NR_MCS,HD,HD_MCS,HA,HA_MCS,FC,FC_MCS,LogP,LogP_MCS
CC1OCC(C[N+](C)(C)C)O1,160.23699999999997,0.1408382374654601,2,0.125,0,0.0,2,0.3333333333333333,1,1.0,0.45399999999999974,0.40340577088956253
CC(=O)OC1C[NH+]2CCC1CC2,170.23199999999997,0.21111322041525163,1,0.0,1,0.5,2,0.3333333333333333,1,1.0,-0.773399999999999,0.0618826344639528
C[N+](C)(C)CCOC(N)=O,147.19799999999998,0.04916084850274571,3,0.25,1,0.5,2,0.3333333333333333,1,1.0,-0.2121000000000003,0.21806394167895565
COC(=O)C1=CCC[NH+](C)C1,156.20499999999998,0.1124891898162797,1,0.0,1,0.5,2,0.3333333333333333,1,1.0,-0.9957999999999989,0.0
CCCCCCOc1nsnc1C1=CCC[NH+](C)C1,282.43300000000005,1.0,7,0.75,1,0.5,4,1.0,1,1.0,1.799,0.7776510197835218
O=C1CCCN1CC#CC[NH+]1CCCC1,207.29699999999997,0.4717177469819371,2,0.125,1,0.5,1,0.0,1,1.0,-0.7090999999999978,0.07977406160438551
C[N+](C)(C)Cc1ccco1,140.20599999999996,0.0,2,0.125,0,0.0,1,0.0,1,1.0,1.4858,0.6905033529035307
CC(=O)OCC[N+](C)(C)C,146.21,0.042214206866488385,3,0.25,0,0.0,2,0.3333333333333333,1,1.0,0.25570000000000004,0.34822894348757594
C[N+](C)(C)CC#CCN1CCCC1=O,195.28599999999994,0.3872682402075552,2,0.125,0,0.0,1,0.0,1,1.0,0.31840000000000024,0.3656751718189152
CCC1C(=O)OCC1Cc1cncn1C,208.261,0.4784956442869497,3,0.25,0,0.0,4,1.0,0,0.0,1.1618000000000002,0.6003505940621607
C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1,281.76300000000003,0.9952892207527402,3,0.25,1,0.5,2,0.3333333333333333,1,1.0,2.5981000000000005,1.0
COCCc1ccc(OCC(O)C[NH2+]C(C)C)cc1,268.37699999999995,0.9011720700007728,9,1.0,2,1.0,3,0.6666666666666666,1,1.0,0.5870000000000002,0.44041292189543374
