SMILES,MW,MW_MCS,NR,NR_MCS,HD,HD_MCS,HA,HA_MCS,FC,FC_MCS,LogP,LogP_MCS
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,314.46900000000005,0.23307226414283866,1,0.14285714285714285,0,0.0,2,0.2,0,0.3333333333333333,4.723500000000005,0.524366041896362
CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccccc1)Oc1ccc(Cl)cc1-3,387.91000000000014,0.4959586775676179,1,0.14285714285714285,1,0.3333333333333333,2,0.2,0,0.3333333333333333,7.096200000000006,1.0
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,312.4530000000001,0.22585587262496246,1,0.14285714285714285,1,0.3333333333333333,2,0.2,0,0.3333333333333333,3.8826000000000036,0.3557983361731987
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C,416.9450000000003,0.5998911813977468,2,0.2857142857142857,0,0.0,4,0.6,0,0.3333333333333333,4.607600000000004,0.5011326049914807
O=S(=O)(c1ccc(I)cc1)N1CCCC(c2ccc(Cl)c(C(F)(F)F)c2)=N1,528.7210000000002,1.0,3,0.42857142857142855,0,0.0,3,0.4,0,0.3333333333333333,5.152200000000003,0.6103036985065651
CC12CCC(=O)C=C1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1,366.5010000000002,0.4193238928423136,0,0.0,0,0.0,3,0.4,0,0.3333333333333333,4.305900000000004,0.4406535030570315
N#Cc1cc(F)cc(-c2ccc3[nH]c(=S)n(C4CCC4)c3c2)c1,323.39600000000013,0.2650269898770065,2,0.2857142857142857,1,0.3333333333333333,3,0.4,0,0.3333333333333333,5.101670000000002,0.6001744011225817
CCC(CC)n1c(=S)[n-]c2ccc(-c3ccc(F)c(Cl)c3)cc21,347.86600000000004,0.3526188055726577,4,0.5714285714285714,0,0.0,2,0.2,-1,0.0,6.148590000000003,0.8100410945173897
N#Cc1cccc(-c2ccc3c(c2)C2(CCCCC2)C(=S)N3)c1,318.4449999999999,0.24730459185864964,1,0.14285714285714285,1,0.3333333333333333,2,0.2,0,0.3333333333333333,5.180080000000003,0.6158925528716046
Cn1c(C#N)ccc1-c1ccc2c(c1)C(C)(C)OC(=O)N2,281.31499999999994,0.11439555561919178,1,0.14285714285714285,1,0.3333333333333333,4,0.6,0,0.3333333333333333,3.3609800000000014,0.25123383782700215
Cn1c(C#N)ccc1-c1ccc2c(c1)C1(CCCCC1)C(=O)[N-]2,304.373,0.19693303360490227,1,0.14285714285714285,0,0.0,3,0.4,-1,0.0,4.311080000000003,0.4416918913501054
[NH3+]C1CCC[NH+]2c3cc(Cl)ccc3Oc3ccccc3C12,302.805,0.1913202846465541,0,0.0,2,0.6666666666666666,1,0.0,2,1.0,2.1076999999999995,0.0
O=C([N-]C1CCCN2c3cc(Cl)ccc3Oc3ccccc3C12)C(F)(F)F,395.78800000000007,0.524158445612176,1,0.14285714285714285,0,0.0,3,0.4,-1,0.0,5.618400000000003,0.7037586448832313
O=C(NC1CCCN2c3cc(Cl)ccc3Oc3ccccc3C12)OCCl,393.2700000000001,0.5151451153334,2,0.2857142857142857,1,0.3333333333333333,4,0.6,0,0.3333333333333333,5.078300000000003,0.5954896261401222
O=C(NC1CCC[NH+]2c3cc(Cl)ccc3Sc3ccccc3C12)C(F)(F)F,413.87200000000007,0.5888911957159831,1,0.14285714285714285,2,0.6666666666666666,2,0.2,1,0.6666666666666666,3.903200000000002,0.35992783401824197
Cc1c(C#N)c(N)nc2c3c(sc12)NC(=O)CC3c1ccccc1Cl,368.84900000000005,0.42772869804269675,1,0.14285714285714285,2,0.6666666666666666,5,0.8,0,0.3333333333333333,4.1861000000000015,0.41663826801643766
CS(=O)(=O)N1CCC([NH+](Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1,458.91300000000024,0.750118125456394,5,0.7142857142857143,1,0.3333333333333333,3,0.4,1,0.6666666666666666,2.9809800000000024,0.17505863486017878
COC(=O)N1CCC(N(Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1,437.84900000000016,0.6747182886842972,4,0.5714285714285714,0,0.0,4,0.6,0,0.3333333333333333,5.077780000000004,0.5953853863886942
CC(=O)[NH+]1CCC([NH+](Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1,423.8660000000001,0.624665311206884,4,0.5714285714285714,2,0.6666666666666666,2,0.2,2,1.0,2.150780000000001,0.00863586248371284
C=C1CCC(Br)C(C)(C)C1Cc1cc(OC)c(Br)cc1[O-],417.16100000000006,0.6006643662032327,3,0.42857142857142855,0,0.0,2,0.2,-1,0.0,4.829700000000004,0.5456550065149848
CC1=CC(C)(C)Nc2ccc(-c3ccccc3)cc21,249.35700000000003,0.0,1,0.14285714285714285,1,0.3333333333333333,1,0.0,0,0.3333333333333333,4.961000000000004,0.5719755437506265
CC1=CC(C)(C)Nc2ccc(-c3cccc([N+](=O)[O-])c3)cc21,294.35400000000004,0.1610694291318852,2,0.2857142857142857,1,0.3333333333333333,3,0.4,0,0.3333333333333333,4.869200000000004,0.5535732184023255
