Step,Scaffold,SMILES,mw,rb,hd,ha,fc,logp,max sim,min sim,simsdiff,simp,raw_mw,raw_rb,raw_hd,raw_ha,raw_fc,raw_logp,raw_max sim,raw_min sim,raw_simsdiff,raw_simp,total_score,ID
1000.0,C=C1C=CCO1,C[N+](C)(C)CC=C1C=CCO1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.908288300037384,0.9455342292785645,154.23300170898438,2.0,0.0,1.0,1.0,1.1628999710083008,0.7250000238418579,0.30909091234207153,0.02531507797539234,0.9455342292785645,0.9853822588920593,MUBD Demo_0
991.0,C=C1C=COC1,C=C1C=C(C[N+](C)(C)C)OC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8830093741416931,0.9455342292785645,154.23300170898438,2.0,0.0,1.0,1.0,1.1628999710083008,0.7297297120094299,0.3333333432674408,0.034163933247327805,0.9455342292785645,0.9828542470932007,MUBD Demo_1
1621.0,C=C1C=CCO1,C=C1C=C(C[N+](C)(C)C)CO1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8812412023544312,0.9455342292785645,154.23300170898438,2.0,0.0,1.0,1.0,1.1628999710083008,0.7317073345184326,0.27586206793785095,0.034717824310064316,0.9455342292785645,0.9826774597167969,MUBD Demo_2
900.0,C1COC1,CC1OC(C[N+](C)(C)C)C1C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8912613987922668,0.9332793354988098,158.26499938964844,2.0,0.0,1.0,1.0,1.1160000562667847,0.7352941036224365,0.2678571343421936,0.0314784049987793,0.9332793354988098,0.9824540019035339,MUBD Demo_3
521.0,C1COC1,CC1(C)CC(C[N+](C)(C)C)O1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8820156455039978,0.9421696066856384,158.26499938964844,2.0,0.0,1.0,1.0,1.26010000705719,0.7352941036224365,0.2678571343421936,0.03447611629962921,0.9421696066856384,0.982418417930603,MUBD Demo_4
985.0,C=C1CCO1,C=C1OC(C[N+](C)(C)C)C1C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8771756887435913,0.9462170600891113,156.24899291992188,2.0,0.0,1.0,1.0,1.2411999702453613,0.6944444179534912,0.2586206793785095,0.03596482425928116,0.9462170600891113,0.9823392629623413,MUBD Demo_5
523.0,C1COC1,CC1(C)OCC1C[N+](C)(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.888081967830658,0.933393657207489,158.26499938964844,2.0,0.0,1.0,1.0,1.1175999641418457,0.6904761791229248,0.27586206793785095,0.03253352269530296,0.933393657207489,0.9821475148200989,MUBD Demo_6
514.0,C1CO1,CC(C)C1OC1C[N+](C)(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9053705930709839,0.9160011410713196,158.26499938964844,3.0,0.0,1.0,1.0,1.1160000562667847,0.7352941036224365,0.2678571343421936,0.026439983397722244,0.9160011410713196,0.9821372032165527,MUBD Demo_7
1876.0,C=C1CCO1,CC1COC1=CC[N+](C)(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8739702105522156,0.9463106989860535,156.24899291992188,2.0,0.0,1.0,1.0,1.242799997329712,0.6511628031730652,0.27586206793785095,0.03692324832081795,0.9463106989860535,0.9820281267166138,MUBD Demo_8
444.0,C1CCOC1,CC1CC([N+](C)(C)C)C(C)O1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8964177966117859,0.9228127598762512,158.26499938964844,1.0,0.0,1.0,1.0,1.2584999799728394,0.6829268336296082,0.2857142984867096,0.029708106070756912,0.9228127598762512,0.98192298412323,MUBD Demo_9
